Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count
Animalia,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,Acanthaster planci,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,71
Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Acanthoscelides obtectus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,595
Animalia,Arthropoda,Insecta,Neoptera,Drepanidae,Achlya flavicornis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,413
Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx jubatus,Complete,Dfam,,Curated Dfam,Dfam,18
Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser ruthenus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,151
Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys cahirinus,Complete,Dfam,,Curated Dfam,Dfam,39
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres javanicus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,48
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres tristis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,109
Animalia,Arthropoda,Insecta,Diptera,Acroceridae,Acrocera orbiculus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,135
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex echinatior,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,154
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora acuminata,Complete,Dfam,,Curated Dfam,Dfam,1
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora millepora,Complete,Dfam,,Curated Dfam,Dfam,3
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora nasuta,Complete,Dfam,,Curated Dfam,Dfam,1
Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Acrossocheilus wenchowensis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,595
Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia tenebrosa,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,34
Animalia,Rotifera,Eurotatoria,Adinetida,Adinetidae,Adineta ricciae,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,20
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos caudatus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,62
Animalia,Chordata,Aves,Caprimulgiformes,Aegothelidae,Aegotheles bennettii,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,62
Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina tumida,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,35
Animalia,Chordata,Mammalia,No trobat,No trobat,Afrotheria,Complete,Dfam,,Dfam no especie,Dfam,46
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius phoeniceus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,165
Animalia,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas oroides,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,100
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum fuliginosum,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,218
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus cyanescens,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,131
Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia vestita,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,283
Animalia,Chordata,Lepidosauria,Squamata,Colubridae,Ahaetulla prasina,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,313
Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda melanoleuca,Complete,Dfam,,Curated Dfam,Dfam,23
Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus fulgens,Complete,Dfam,,Curated Dfam,Dfam,18
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda arvensis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,67
Animalia,Chordata,Actinopteri,Albuliformes,Albulidae,Albula goreensis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,118
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca torda,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,182
Animalia,Chordata,Testudines,Testudines,Testudinidae,Aldabrachelys gigantea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,687
Animalia,Chordata,Actinopteri,Notacanthiformes,Halosauridae,Aldrovandia affinis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,434
Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Aleadryas rufinucha,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,60
Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris rufa,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,145
Animalia,Arthropoda,Collembola,Symphypleona,Sminthuridae,Allacma fusca,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,168
Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator mississippiensis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,495
