Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus biennis,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia caerulea,Complete,RM2+MCH,,B-GUT,RM2+MCH,10,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia glauca,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia repens,Complete,RM2+MCH,,B-GUT,RM2+MCH,6,"x=0, e=500, c=1"
Animalia,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,Acanthaster planci,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,71,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Acanthoscelides obtectus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,595,"x=10, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Acephala macrosclerotiorum,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Sapindales,Sapindaceae,Acer negundo,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,235,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Achaetomium macrosporum,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Arthropoda,Insecta,Neoptera,Drepanidae,Achlya flavicornis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,413,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Amplistromataceae,,Acidothrix acidophila,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx jubatus,Complete,Dfam,,Curated Dfam,Dfam,18,
Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser ruthenus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,151,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys cahirinus,Complete,Dfam,,Curated Dfam,Dfam,39,
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres javanicus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,48,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres tristis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,109,"x=10, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,Acrocalymma vagum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,41,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Diptera,Acroceridae,Acrocera orbiculus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,135,"x=10, e=500, c=1"
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex echinatior,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,154,"x=10, e=500, c=1"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora acuminata,Complete,Dfam,,Curated Dfam,Dfam,1,
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora millepora,Complete,Dfam,,Curated Dfam,Dfam,3,
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora nasuta,Complete,Dfam,,Curated Dfam,Dfam,1,
Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Acrossocheilus wenchowensis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,595,"x=10, e=500, c=1"
Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia tenebrosa,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,34,"x=10, e=500, c=1"
